OBJET,CORRESPONDANCE,DESCRIPTION
v9450763,logMessage,Paramètre message pour la fonction de log
v9450863,logOptionalParam,Paramètre optionnel pour la fonction de log
v9464763,appVersionNumber,Numéro de version de l'application (963)
v9464863,storedJsData,Récupération des données depuis localStorage
v9450963,parsedStoredData,Données parsées depuis le localStorage
v9451063,selectedStyleSheet,Feuille de style choisie (style1.css ou style2.css)
v9504363,bodyElementId,ID de l'élément body
v9394263,audioElementsContainer,Conteneur des éléments audio
v9421363,audioAzanElement,Élément audio pour l'adhan
v9421463,audioFajrElement,Élément audio spécifique pour Fajr
v9435863,audioShortAzanElement,Élément audio pour adhan court
v9421563,audioShortIqamaElement,Élément audio pour iqama court
v9478363,audioBeepElement,Élément audio pour bip
v9504463,audioTeetElement,Élément audio pour teet
v9464963,audioAlert1Element,Élément audio pour alerte 1
v9478463,audioDrop1Element,Élément audio pour drop 1
v9478563,audioDrop3Element,Élément audio pour drop 3
v9451163,audioAlertsElement,Élément audio pour alertes multiples
v9465063,mainVerticalContainer,Conteneur principal pour l'orientation portrait/verticale forcée
v9465163,verticalBackgroundLayer,Calque d'arrière-plan pour le mode vertical
v9465263,menuToggleButton,Bouton pour ouvrir/fermer le menu (icône hamburger)
v9356963,toggleMenuFunction,Fonction pour afficher/masquer le menu
v9435963,mosqueNameDisplayVertical,Affichage du nom de la mosquée en mode vertical
v9421663,appLogoImage,Image du logo de l'application
v9332363,activateBlackScreenFunction,Fonction pour activer l'écran noir
v9436063,dateDisplayVertical,Affichage de la date en mode vertical
v9406563,adjustHijriDateFunction,Fonction pour ajuster la date hijri
v9436163,tawkitVersionDisplay,Affichage de la version de Tawkit
v9421763,weatherWidgetVertical,Widget météo en mode vertical
v9368363,resetAppOnMultipleClicks,Fonction pour réinitialiser l'application après 7 clics
v9436263,weatherIconVertical,Conteneur de l'icône météo vertical
v9421863,weatherIconImageVertical,Image de l'icône météo vertical
v9436363,weatherTempVertical,Affichage de la température météo vertical
v9436463,weatherMinMaxVertical,Affichage des températures min/max vertical
v9451263,weatherMinMaxSpanVertical,Span pour les températures min/max vertical
v9421963,nextPrayerCounterVertical,Compteur de la prochaine prière en vertical
v9379463,nextPrayerTimeDisplayVertical,Affichage de l'heure de la prochaine prière vertical
v9342963,toggleVrNamesMiddleFunction,Fonction pour basculer les noms des prières au milieu en VR
v9329263,toggleBigNextPrayCounterFunction,Fonction pour basculer le grand compteur de prochaine prière
v9394363,dohaTimeDisplayVertical,Affichage de l'heure de Doha en vertical
